Country,Year,GDP per capita USD,Life Expectancy
Australia,2000.0,21870.4159669594,79.5
Australia,2001.0,19695.7297379144,79.9
Australia,2002.0,20301.8431713256,79.9
Australia,2003.0,23718.1338501868,83.0
Australia,2004.0,30836.7306824685,86.0
Australia,2005.0,34479.7679298388,81.0
Australia,2006.0,36595.7071548423,81.2
Australia,2007.0,41051.6120652288,81.3
Australia,2008.0,49701.2817843335,81.3
Australia,2009.0,42816.5674002829,81.7
Australia,2010.0,52144.6654705468,81.9
Australia,2011.0,62605.600458306,82.0
Australia,2012.0,68072.8732340801,82.3
Australia,2013.0,68190.7010035651,82.5
Australia,2014.0,62544.0873773726,82.7
Australia,2015.0,56739.0265346593,82.8
Argentina,2000.0,7637.01489203628,74.1
Argentina,2001.0,7141.47507662826,74.0
Argentina,2002.0,2569.69963519124,74.1
Argentina,2003.0,3320.47775133903,74.1
Argentina,2004.0,4242.02099089422,74.7
Argentina,2005.0,5067.65342293276,74.9
Argentina,2006.0,5869.38028970204,75.2
Argentina,2007.0,7185.25155147027,74.8
Argentina,2008.0,8944.1102657357,75.4
Argentina,2009.0,8150.23527028221,75.6
Argentina,2010.0,10260.1313108254,75.5
Argentina,2011.0,12704.2831819684,75.7
Argentina,2012.0,12949.717486654,75.9
Argentina,2013.0,12963.675773326,76.0
Argentina,2014.0,12233.1444119186,76.2
Argentina,2015.0,13679.6264980954,76.3
Mexico,2000.0,7524.0271380091,74.8
Mexico,2001.0,7952.76479510706,75.0
Mexico,2002.0,7983.03398381759,75.0
Mexico,2003.0,7434.07465031562,75.0
Mexico,2004.0,7849.66759649565,75.4
Mexico,2005.0,8671.75891885163,75.3
Mexico,2006.0,9512.63575346699,75.8
Mexico,2007.0,10134.3327129706,76.0
Mexico,2008.0,10523.7685427665,75.6
Mexico,2009.0,8423.56933214711,75.7
Mexico,2010.0,9728.80078237782,75.6
Mexico,2011.0,10664.4944046282,76.1
Mexico,2012.0,10744.1335229686,76.3
Mexico,2013.0,11216.800851866,76.6
Mexico,2014.0,11391.3773510244,76.6
Mexico,2015.0,10021.2386124039,76.7
Brazil,2000.0,3766.54811466032,75.0
Brazil,2001.0,3176.28935747524,71.0
Brazil,2002.0,2855.94018885769,71.4
Brazil,2003.0,3090.6070097455,71.8
Brazil,2004.0,3663.823188064,72.0
Brazil,2005.0,4827.78173074714,72.7
Brazil,2006.0,5934.14470924968,73.0
Brazil,2007.0,7409.69130673473,73.3
Brazil,2008.0,8908.33176538648,73.4
Brazil,2009.0,8678.6592244676,73.6
Brazil,2010.0,11403.2821278747,73.8
Brazil,2011.0,13396.6243562986,74.1
Brazil,2012.0,12521.7213519966,74.5
Brazil,2013.0,12458.8912138813,74.7
Brazil,2014.0,12274.9939689363,74.8
Brazil,2015.0,8936.19661712113,75.0
China,2000.0,969.199513696287,71.7
China,2001.0,1065.40597574519,72.2
China,2002.0,1163.55957673426,72.7
China,2003.0,1306.97245408557,73.1
China,2004.0,1530.92726215723,73.5
China,2005.0,1777.64496828464,73.9
China,2006.0,2129.25696999613,74.2
China,2007.0,2734.72709877693,74.4
China,2008.0,3523.44302065213,74.5
China,2009.0,3898.24459158811,74.9
China,2010.0,4629.24551710077,75.0
China,2011.0,5703.76027973346,75.2
China,2012.0,6405.0574241349,75.4
China,2013.0,7147.03518622344,75.6
China,2014.0,7781.06597484974,75.8
China,2015.0,8175.33285077393,76.1
Japan,2000.0,39169.3595701504,81.1
Japan,2001.0,34406.1824638092,81.5
Japan,2002.0,32820.7936433254,81.8
Japan,2003.0,35387.0374203599,81.9
Japan,2004.0,38298.9801712303,82.1
Japan,2005.0,37812.8950199948,82.0
Japan,2006.0,35991.546002862,82.4
Japan,2007.0,35779.0245416427,82.6
Japan,2008.0,39876.3039685725,82.7
Japan,2009.0,41308.9968370512,83.0
Japan,2010.0,44968.1562349739,83.0
Japan,2011.0,48760.0789494211,82.5
Japan,2012.0,49145.2804308193,83.3
Japan,2013.0,40898.6478964744,83.5
Japan,2014.0,38475.3952461838,83.5
Japan,2015.0,34960.6393843385,83.7
Germany,2000.0,23925.8559901991,78.0
Germany,2001.0,23878.3641471651,78.3
Germany,2002.0,25486.5942008748,78.4
Germany,2003.0,30711.1022511331,78.5
Germany,2004.0,34566.7359143735,79.1
Germany,2005.0,35084.4363546269,79.2
Germany,2006.0,36980.3349948954,79.6
Germany,2007.0,42350.9217211489,79.8
Germany,2008.0,46386.3295924799,79.9
Germany,2009.0,42487.2137101496,80.0
Germany,2010.0,42409.9356994694,81.0
Germany,2011.0,47646.582043143,85.0
Germany,2012.0,44735.5882319701,86.0
Germany,2013.0,47220.0102098851,86.0
Germany,2014.0,48971.0824722599,89.0
Germany,2015.0,41911.0109851054,81.0
Russian Federation,2000.0,1771.59411621094,65.0
Russian Federation,2001.0,2100.3525390625,65.1
Russian Federation,2002.0,2377.52954101563,64.8
Russian Federation,2003.0,2975.123046875,64.6
Russian Federation,2004.0,4102.36474609375,64.9
Russian Federation,2005.0,5323.455078125,65.0
Russian Federation,2006.0,6920.19970703125,66.4
Russian Federation,2007.0,9101.2392578125,67.3
Russian Federation,2008.0,11635.2841796875,67.5
Russian Federation,2009.0,8562.82421875,68.2
Russian Federation,2010.0,10674.990234375,68.4
Russian Federation,2011.0,14305.33203125,69.4
Russian Federation,2012.0,15401.8515625,69.6
Russian Federation,2013.0,15941.4482421875,70.0
Russian Federation,2014.0,14055.47265625,73.0
Russian Federation,2015.0,9277.7138671875,75.0
Italy,2000.0,20190.0035636084,79.4
Italy,2001.0,20570.4385917862,79.8
Italy,2002.0,22451.3964379368,80.0
Italy,2003.0,27577.5700319855,79.9
Italy,2004.0,31348.1901841445,89.0
Italy,2005.0,32062.723833669,88.0
Italy,2006.0,33537.1286994269,81.2
Italy,2007.0,37826.1754554823,81.3
Italy,2008.0,40828.5795580937,81.5
Italy,2009.0,37099.6133958219,81.6
Italy,2010.0,35856.8625485539,81.8
Italy,2011.0,38432.3742820019,82.0
Italy,2012.0,34854.3949441965,82.0
Italy,2013.0,35701.6746002376,82.3
Italy,2014.0,36028.3494022349,82.5
Italy,2015.0,30639.8829751432,82.7
India,2000.0,442.750218937263,62.5
India,2001.0,450.357900514128,62.9
India,2002.0,469.149928973927,63.3
India,2003.0,544.143133545002,63.7
India,2004.0,624.258826510066,64.0
India,2005.0,710.488080408949,64.4
India,2006.0,801.668353659022,64.8
India,2007.0,1021.88707706826,65.2
India,2008.0,992.519584923828,65.5
India,2009.0,1094.94974598436,66.0
India,2010.0,1347.51939071367,66.4
India,2011.0,1445.46127486037,66.8
India,2012.0,1429.32199520032,67.3
India,2013.0,1432.84397512195,67.6
India,2014.0,1553.88396075118,68.0
India,2015.0,1583.99815907985,68.3
Indonesia,2000.0,763.711124950924,66.3
Indonesia,2001.0,732.307093405708,66.5
Indonesia,2002.0,881.002913569131,66.7
Indonesia,2003.0,1043.2105838671,66.9
Indonesia,2004.0,1126.84004447173,65.3
Indonesia,2005.0,1238.21447629488,67.2
Indonesia,2006.0,1558.31562847163,67.3
Indonesia,2007.0,1823.21976255073,67.5
Indonesia,2008.0,2124.55483920618,67.7
Indonesia,2009.0,2218.48541852977,67.9
Indonesia,2010.0,3065.68348377765,68.1
Indonesia,2011.0,3579.46442466152,68.3
Indonesia,2012.0,3632.27254030331,68.5
Indonesia,2013.0,3566.60284506078,68.7
Indonesia,2014.0,3441.06808464008,68.9
Indonesia,2015.0,3288.22269725538,69.1
Saudi Arabia,2000.0,11714.5623675159,72.6
Saudi Arabia,2001.0,10805.311325122,72.8
Saudi Arabia,2002.0,10586.0543471363,72.9
Saudi Arabia,2003.0,11487.220410693,73.0
Saudi Arabia,2004.0,13154.4978989446,73.1
Saudi Arabia,2005.0,15975.7473782258,73.1
Saudi Arabia,2006.0,17563.6145370639,73.2
Saudi Arabia,2007.0,18596.1502627898,73.2
Saudi Arabia,2008.0,22320.4888964331,73.3
Saudi Arabia,2009.0,17718.3911648365,73.4
Saudi Arabia,2010.0,22028.3901426586,73.7
Saudi Arabia,2011.0,27126.7498747702,73.9
Saudi Arabia,2012.0,28733.4375513452,74.1
Saudi Arabia,2013.0,27865.465604962,74.3
Saudi Arabia,2014.0,27805.4850319422,74.4
Saudi Arabia,2015.0,23256.1549553531,74.5
South Africa,2000.0,3217.84693448467,57.3
South Africa,2001.0,2847.15191945908,56.0
South Africa,2002.0,2688.23676032806,54.9
South Africa,2003.0,4062.21755993786,54.0
South Africa,2004.0,5221.46333731721,53.7
South Africa,2005.0,5836.87663325127,53.8
South Africa,2006.0,6077.38293388876,54.0
South Africa,2007.0,6591.85535960564,54.5
South Africa,2008.0,6184.75474328399,55.3
South Africa,2009.0,6374.70560042992,56.5
South Africa,2010.0,7973.47195771517,58.0
South Africa,2011.0,8646.05571071635,58.9
South Africa,2012.0,8076.97678479741,59.2
South Africa,2013.0,7331.65467384919,69.0
South Africa,2014.0,6856.73137092522,62.0
South Africa,2015.0,6112.27382485974,62.9
Canada,2000.0,24271.0020563821,79.1
Canada,2001.0,23822.096210932,79.4
Canada,2002.0,24256.0192337185,79.5
Canada,2003.0,28301.8645937428,79.7
Canada,2004.0,32145.5412620217,80.0
Canada,2005.0,36383.6600068095,81.0
Canada,2006.0,40504.0370977806,85.0
Canada,2007.0,44660.0838892281,85.0
Canada,2008.0,46710.2526864484,87.0
Canada,2009.0,40874.8831932903,81.0
Canada,2010.0,47560.6666009406,81.2
Canada,2011.0,52223.8588398531,81.5
Canada,2012.0,52670.3447335415,81.6
Canada,2013.0,52638.1187235237,81.8
Canada,2014.0,50960.8431174661,82.0
Canada,2015.0,43594.1941045394,82.2
France,2000.0,22340.5939516217,78.8
France,2001.0,22331.7948343036,79.0
France,2002.0,24144.5727019529,79.2
France,2003.0,29479.5222101175,79.3
France,2004.0,33644.9282220364,82.0
France,2005.0,34696.3718316971,81.0
France,2006.0,36431.5658906555,86.0
France,2007.0,41486.1907828787,89.0
France,2008.0,45464.8181385158,89.0
France,2009.0,41728.0884164132,81.1
France,2010.0,40694.8211697025,81.3
France,2011.0,43929.7840873812,81.7
France,2012.0,40863.5814412333,81.5
France,2013.0,42669.1795111893,82.0
France,2014.0,43148.0459288416,82.2
France,2015.0,36702.4323733379,82.4
